"row ID","REVENUE_VOICE_oct","REVENUE_GPRS_oct","REVENUE_SMS_oct","REVENUE_VAS_oct","VOLUME_MIN_oct","VOLUME_NO_oct","VOLUME_MIN_country_X_oct","VOLUME_NO_country_X_oct","VOLUME_MIN_country_Y_oct","VOLUME_NO_country_Y_oct","VOLUME_MIN_Neighbou_octr","VOLUME_NO_Neighbour_oct","VOLUME_MIN_West_Europe_oct","VOLUME_NO_West_Europe_oct","VOLUME_MIN_East_Europe_oct","VOLUME_NO_East_Europe_oct","VOLUME_MIN_OTHERDEST_oct","VOLUME_NO_OTHERDEST_oct","NO_SMS_OTHERDEST_oct","NO_GPRS_OTHERDEST_oct","VOLUME_MIN_COMPETITION_oct","VOLUME_NO_COMPETITION_oct","NO_SMS_COMPETITION_oct","NO_GPRS_COMPETITION_oct","NO_ROAMING_oct","SCORE_ID","AGE","GENDER","REVENUE_AMOUNT_oct","NUM_OF_RECHARGE_oct","CHURN","Prediction (DecTree)"
"1",369,0,0,0,11.94,32,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,10,0.0,0,0,0,0,80,43,"M",206.1333,1,"0","0"
"3",1078,0,17,0,29.0,44,0,0,0.0,0,1.17,2,0,0,0,0,0.0,0,1,0,5.68,11,0,0,0,80,35,"M",345.1808,,"0","0"
"4",638,0,34,0,24.81,20,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,80,29,"M",457.9351,1,"0","0"
"5",219,0,0,0,2.47,4,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.6,1,0,0,0,70,40,"F",16.5,,"1","0"
"7",270,0,272,0,7.6,28,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,15,0,0.97,3,0,0,0,80,39,"F",319.95,1,"0","0"
"9",450,0,34,0,8.85,22,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,1.4,4,0,0,0,80,72,"M",170.45,1,"0","0"
"10",2164,0,12,0,443.62,59,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,13.78,6,0,0,0,70,27,"M",814.32,2,"0","0"
"20",420,0,0,0,68.55,15,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,6.48,6,0,0,0,,40,"M",274.45,,"1","0"
"24",236,44,0,0,3.49,19,0,0,0.13,2,0.13,2,0,0,0,0,0.0,0,0,10,0.17,1,0,0,0,80,33,"M",75.9,,"1","0"
"27",559,0,68,0,9.46,27,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,4,0,3.77,10,0,0,0,70,23,"M",16.5,,"1","0"
"29",2018,0,221,5,45.16,42,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,13,0,3.92,10,0,0,0,60,46,"M",17.0,,"0","0"
"30",783,0,0,0,12.42,27,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.88,4,0,0,0,80,62,"M",192.74,1,"0","0"
"35",228,0,238,0,5.28,24,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,14,0,5.05,10,0,0,0,80,61,"M",69.2916,,"0","0"
"37",262,0,18,0,15.17,86,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,81,0,0.15,1,0,0,0,,27,"F",279.9,1,"1","0"
"42",394,0,562,0,4.55,121,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,81,26,0.0,0,0,0,0,,28,"M",691.2,1,"0","0"
